shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Rectangle,100,80,44,30,74,600,0,0,68,0.6769,1.5632,86.78,0.07867151386993998
Cylinder,60,60,44,20,64,300,-75.0,0,58,0.4142,1.5322,100.0,0.078125
Rectangle,60,60,44,20,64,300,-75.0,0,58,0.4029,1.5322,100.0,0.078125
Cylinder,100,100,60,10,70,600,0,0,64,0.8211,1.1959,90.75,0.07778761061946902
Rectangle,80,60,26,10,36,300,0,0,30,0.442,0.9965,64.62,0.07772159320672783
Cylinder,60,60,60,20,80,450,0,0,74,0.7384,1.5947,82.55,0.07739214601769911
Rectangle,60,60,60,20,80,450,0,0,74,0.7084,1.5947,82.55,0.07739214601769911
Cylinder,60,60,44,10,54,300,0,0,48,0.7185,0.9965,83.05,0.0769010160603081
Rectangle,60,60,44,10,54,300,0,0,48,0.6907,0.9965,83.05,0.0769010160603081
Cylinder,80,80,44,20,64,450,0,0,58,0.7855,1.1224,87.17,0.07661262444690266
Cylinder,100,100,44,30,74,600,0,150.0,68,0.4163,1.8209,94.29,0.07645300167424061
Cylinder,100,100,36,30,66,600,0,0,60,0.7698,1.1959,83.95,0.07632072941807455
Cylinder,80,80,44,30,74,450,-112.5,0,68,0.4394,1.7145,100.0,0.07601351351351351
Rectangle,80,80,44,30,74,450,-112.5,0,68,0.4319,1.7145,100.0,0.07601351351351351
Rectangle,80,100,30,20,50,450,0,0,44,0.587,1.1224,75.47,0.07594221133318423
Rectangle,80,100,36,0,36,300,0,0,30,0.5999,0.6816,81.31,0.07575862069786345
Cylinder,60,60,36,30,66,300,-75.0,0,60,0.4285,1.5322,100.0,0.07575757575757576
Rectangle,60,80,36,10,46,300,0,0,40,0.5824,0.9965,80.06,0.07536209265970778
Cylinder,80,80,30,10,40,300,0,0,34,0.6907,0.6816,80.32,0.075304203539823
Cylinder,60,60,26,20,46,300,0,0,40,0.5987,0.9965,69.16,0.0751731435167372
Cylinder,100,100,60,0,60,450,-112.5,0,54,0.4407,1.3157,100.0,0.075
Cylinder,100,100,60,20,80,600,-150.0,0,74,0.453,1.8209,100.0,0.075
Rectangle,60,60,30,20,50,300,0,0,44,0.637,0.9965,74.91,0.07491150442477877
Rectangle,80,80,44,20,64,450,0,0,58,0.7654,1.1224,84.91,0.0746292519358407
Cylinder,80,80,44,0,44,300,0,0,38,0.7719,0.6816,87.48,0.0745550080450523
Rectangle,100,80,36,20,56,450,0,0,50,0.6641,1.1224,82.68,0.07428530192318163
Rectangle,80,100,60,0,60,450,0,0,54,0.715,1.1224,88.47,0.07418106044825078
Rectangle,100,80,60,0,60,450,0,0,54,0.715,1.1224,88.47,0.07418106044825078
Cylinder,80,80,60,10,70,450,0,112.5,64,0.4135,1.7145,92.09,0.07400442477876107
Rectangle,80,80,60,10,70,450,0,112.5,64,0.4073,1.7145,92.09,0.07400442477876107
Rectangle,60,80,44,30,74,450,0,0,68,0.655,1.5947,84.22,0.07392078832230842
Rectangle,80,60,44,30,74,450,0,0,68,0.655,1.5947,84.19,0.07389489662762459
Rectangle,80,100,60,20,80,600,0,0,74,0.7339,1.5632,87.98,0.07377292857182659
Rectangle,100,80,60,20,80,600,0,0,74,0.7339,1.5632,87.98,0.07377292857182659
Cylinder,60,60,36,20,56,300,0,0,50,0.7484,0.9965,82.32,0.07349610198061525
Cylinder,100,100,44,10,54,450,0,0,48,0.8211,0.8469,88.01,0.07334070796460178
Cylinder,100,100,60,0,60,450,0,112.5,54,0.4407,1.3157,97.3,0.07297566371681416
Rectangle,80,80,44,0,44,300,0,0,38,0.7528,0.6816,85.18,0.07259402654867257
Rectangle,100,80,26,30,56,600,0,0,50,0.5023,1.5632,60.52,0.07249199519343898
Rectangle,60,60,36,20,56,300,0,0,50,0.7172,0.9965,81.0,0.07232406236831015
Cylinder,100,100,60,20,80,600,0,150.0,74,0.453,1.8209,96.12,0.07209070796460176
Cylinder,80,80,26,10,36,300,0,0,30,0.6094,0.6816,69.16,0.07204092920353983
Rectangle,80,100,60,10,70,450,-112.5,0,64,0.4073,1.7145,100.0,0.07187361356249324
Rectangle,100,80,60,10,70,450,-112.5,0,64,0.4073,1.7145,100.0,0.07187361356249324
Cylinder,80,80,30,30,60,450,0,0,54,0.7313,1.1224,76.36,0.07158462389380531
Rectangle,60,60,36,30,66,300,-75.0,0,60,0.416,1.5322,94.45,0.07155627067131493
Cylinder,100,100,44,30,74,600,0,-150.0,68,0.4163,1.8209,88.13,0.07145419756039226
Cylinder,80,80,60,30,90,600,0,0,84,0.8532,1.5632,85.63,0.07136184857423797
Rectangle,80,80,60,30,90,600,0,0,84,0.8276,1.5632,85.63,0.07136184857423797
Rectangle,80,100,36,20,56,450,0,0,50,0.6641,1.1224,79.26,0.07121106181505138
Rectangle,60,60,22,30,52,450,0,0,46,0.4515,1.5947,49.1,0.07081773315180394
Rectangle,80,80,22,30,52,600,0,0,46,0.4629,1.5632,49.1,0.07081773315180394
Cylinder,100,100,36,20,56,450,0,112.5,50,0.4081,1.3157,87.88,0.07061472819216183
Cylinder,80,80,36,30,66,450,0,0,60,0.8126,1.1224,82.68,0.07046962992759453
Cylinder,100,100,44,30,74,600,0,0,68,0.8724,1.1959,86.9,0.07046161205453241
Cylinder,80,80,60,20,80,450,-112.5,0,74,0.4781,1.7145,100.0,0.0703125
Cylinder,100,100,44,20,64,450,-112.5,0,58,0.4734,1.3157,100.0,0.0703125
Rectangle,80,80,60,20,80,450,-112.5,0,74,0.4686,1.7145,100.0,0.0703125
Rectangle,80,60,26,30,56,450,0,0,50,0.4894,1.5947,60.52,0.07019007252938432
Cylinder,100,100,36,0,36,300,0,0,30,0.7698,0.498,83.95,0.06996066863323501
Cylinder,100,100,26,30,56,600,0,0,50,0.6415,1.1959,65.22,0.06987989886219974
Cylinder,80,80,44,10,54,300,-75.0,0,48,0.4652,1.0764,100.0,0.06944444444444445
Rectangle,80,80,44,10,54,300,-75.0,0,48,0.4564,1.0764,99.66,0.06920886594559161
Rectangle,100,80,30,20,50,450,0,0,44,0.587,1.1224,68.54,0.06896686653611629
Rectangle,80,100,26,20,46,450,0,0,40,0.535,1.1224,63.02,0.06893073153994278
Cylinder,80,80,44,30,74,450,0,112.5,68,0.4394,1.7145,90.65,0.06890546519971298
Cylinder,80,80,60,10,70,450,0,0,64,0.8667,1.1224,85.37,0.06859987357774969
Rectangle,80,80,60,10,70,450,0,0,64,0.8399,1.1224,85.37,0.06859987357774969
Rectangle,80,80,36,30,66,450,0,0,60,0.7904,1.1224,80.06,0.06823209975864844
Cylinder,100,100,44,0,44,300,-75.0,0,38,0.4652,0.8105,100.0,0.06818181818181818
Rectangle,80,80,30,10,40,300,0,0,34,0.6769,0.6816,72.23,0.0677129424778761
Cylinder,100,100,36,30,66,450,-112.5,0,60,0.4897,1.3157,99.0,0.06749798873692679
Cylinder,80,80,36,10,46,300,0,0,40,0.8126,0.6816,82.68,0.06740573297422085
Cylinder,60,60,60,0,60,300,0,0,54,0.8083,0.9965,80.77,0.06730580137659783
Rectangle,60,60,60,0,60,300,0,0,54,0.7693,0.9965,80.77,0.06730580137659783
Cylinder,100,100,60,0,60,450,0,-112.5,54,0.4407,1.3157,89.65,0.06723451327433629
Rectangle,60,80,60,20,80,450,0,0,74,0.7084,1.5947,82.55,0.0670235645047221
Rectangle,80,60,60,20,80,450,0,0,74,0.7084,1.5947,82.55,0.0670235645047221
Cylinder,100,100,60,20,80,600,0,-150.0,74,0.453,1.8209,89.26,0.06694690265486725
Rectangle,100,80,44,30,74,450,-112.5,0,68,0.4319,1.7145,98.41,0.06690554986491835
Rectangle,80,100,44,30,74,450,-112.5,0,68,0.4319,1.7145,98.22,0.06677518833190817
Rectangle,100,80,44,20,64,450,0,0,58,0.7654,1.1224,84.91,0.06675043217539903
Cylinder,60,60,60,30,90,450,0,0,84,0.8382,1.5947,80.04,0.06670353982300885
Rectangle,60,60,60,30,90,450,0,0,84,0.795,1.5947,80.04,0.06670353982300885
Rectangle,80,60,44,20,64,300,-75.0,0,58,0.4029,1.5322,98.55,0.06668028378603912
Cylinder,60,60,60,10,70,300,-75.0,0,64,0.4571,1.5322,93.33,0.06666666666666667
Cylinder,100,100,60,30,90,600,-150.0,0,84,0.5142,1.8209,100.0,0.06666666666666667
Rectangle,60,60,60,10,70,300,-75.0,0,64,0.4419,1.5322,93.33,0.06666666666666667
Rectangle,80,60,44,10,54,300,0,0,48,0.6907,0.9965,83.05,0.0665982334850619
Rectangle,60,80,44,20,64,300,-75.0,0,58,0.4029,1.5322,98.27,0.06649068106351072
Cylinder,100,100,30,20,50,450,0,0,44,0.7527,0.8469,73.82,0.06643805309734513
Cylinder,80,80,22,10,32,300,0,0,26,0.5282,0.6816,56.64,0.0663716814159292
Cylinder,100,100,60,0,60,450,0,0,54,0.9238,0.8469,88.47,0.06634955752212389
Cylinder,80,80,36,20,56,300,-75.0,0,50,0.4846,1.0764,99.0,0.06629266750948166
Rectangle,80,100,60,10,70,450,0,112.5,64,0.4073,1.7145,92.09,0.06619156977643183
Rectangle,100,80,60,10,70,450,0,112.5,64,0.4073,1.7145,92.09,0.06619156977643183
Cylinder,60,60,44,20,64,300,0,75.0,58,0.4142,1.5322,84.72,0.06618731563421829
Rectangle,60,60,44,20,64,300,0,75.0,58,0.4029,1.5322,84.72,0.06618731563421829
